"seller_id","total_revenue","total_orders","on_time_deliveries","on_time_delivery_pct","avg_review_score"
"b37c4c02bda3161a7546a4e6d222d5b2",24487.600000000002,"15","14","93.33","1.40"
"744dac408745240a2c2528fb1b6028f3",24200.399999999994,"83","82","98.80","4.55"
"40db9e9aa57f7bb151bcda6b0f9bdbb7",23823.99,"12","11","91.67","2.36"
"06e5eefc71ec47ae763c5c6f8db7064f",23800.319999999996,"93","91","97.85","3.93"
"0dd184061fb0eaa7ca37932c68ab91c5",23766.419999999995,"193","174","90.16","3.95"
"ff69aa92bb6b1bf9b8b7a51c2ed9cf8b",23695.199999999997,"20","15","75.00","3.65"
"85d9eb9ddc5d00ca9336a2219c97bb13",23539.90999999995,"512","494","96.48","4.18"
"8444e55c1f13cd5c179851e5ca5ebd00",23445.670000000006,"102","91","89.22","3.07"
"00ee68308b45bc5e2660cd833c3f81cc",23440.65999999999,"172","158","91.86","4.32"
"7b0df942f46435babab05d49b744b2c4",23272.780000000002,"32","29","90.63","4.39"
"59fb871bf6f4522a87ba567b42dafecf",23192.18000000001,"125","117","93.60","4.21"
"004c9cd9d87a3c30c522c48c4fc07416",23094.019999999997,"168","155","92.26","4.14"
"05ff92fedb5be47920fea08e501238b9",22983.869999999995,"60","57","95.00","4.21"
"dc317f341ab0e22f39acbd9dbf9b4a1f",22570.13000000001,"58","55","94.83","4.12"
"f457c46070d02cadd8a68551231220dd",22449.01,"230","215","93.48","3.74"
"48162d548f5b1b11b9d29d1e01f75a61",22151.83,"89","87","97.75","3.76"
"b1b3948701c5c72445495bd161b83a4c",21924.250000000004,"14","5","35.71","1.72"
"bfd27a966d91cfaafdb25d076585f0da",21861.409999999996,"115","109","94.78","4.28"
"44073f8b7e41514de3b7815dd0237f4f",21519.490000000005,"151","144","95.36","3.75"
"128639473a139ac0f3e5f5ade55873a5",21475.53999999995,"554","519","93.68","4.18"
"0c8380b62e38e8a1e6adbeba7eb9688c",21300.739999999983,"218","207","94.95","4.04"
"76d64c4aca3a7baf218bf93ef7fa768d",20455.289999999997,"69","67","97.10","4.12"
"54a1852d1b8f10312c55e906355666ee",20418.02999999999,"202","182","90.10","4.35"
"fa40cc5b934574b62717c68f3d678b6d",20383.010000000006,"337","317","94.07","4.43"
"7aa4334be125fcdd2ba64b3180029f14",20330.519999999986,"237","205","86.50","4.05"
"cd68562d3f44870c08922d380acae552",20279.86000000001,"129","103","79.84","3.84"
"96493fab2fbb13a14d0c0e8772eef5c3",20181.229999999996,"64","60","93.75","4.03"
"41b39e28db005d9731d9d485a83b4c38",20064.520000000004,"223","210","94.17","4.15"
"527801b552d0077ffd170872eb49683b",20005.36,"92","83","90.22","4.48"
"1e8b33f18b4f7598d87f5cbee2282cc2",19924.069999999992,"139","133","95.68","4.28"
"c33847515fa6305ce6feb1e818569f13",19894.26000000001,"128","122","95.31","3.72"
"86ccac0b835037332a596a33b6949ee1",19799.950000000008,"208","202","97.12","4.00"
"9de4643a8dbde634fe55621059d92273",19282.409999999996,"81","76","93.83","4.53"
"821fb029fc6e495ca4f08a35d51e53a5",19217.170000000002,"25","16","64.00","3.43"
"d650b663c3b5f6fb392b6326366efa9a",19188.009999999995,"57","53","92.98","4.20"
"4b9750c8ad28220fe6702d4ecb7c898f",19173.850000000002,"221","204","92.31","4.35"
